Date,Time,EAR,MAR,Head Position,Phone,Driver Status
15-07-2026,21:24:24,0.317,0.090,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:24,0.561,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.719,0.198,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.459,0.059,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.272,0.059,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.251,0.029,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.216,0.025,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.218,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.256,0.025,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.203,0.025,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.225,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.239,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.238,0.000,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:25,0.234,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:25,0.225,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:25,0.259,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:25,0.265,0.033,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.278,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.231,0.024,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.215,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.227,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.230,0.024,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.220,0.034,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.226,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.233,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.257,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:26,0.242,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.248,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.266,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.274,0.077,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.277,0.079,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.272,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:26,0.269,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:27,0.235,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:27,0.243,0.000,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.261,0.079,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.255,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.245,0.059,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.282,0.051,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.288,0.054,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.262,0.053,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.270,0.049,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.278,0.025,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.245,0.051,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.237,0.050,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.244,0.051,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.228,0.103,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:27,0.261,0.025,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.271,0.053,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.250,0.057,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.245,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.260,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.248,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.249,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.266,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.266,0.077,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.262,0.079,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.261,0.051,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.259,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.264,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.206,0.026,LOOKING LEFT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.220,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:28,0.248,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:28,0.236,0.050,LOOKING RIGHT,NO PHONE,DISTRACTED
15-07-2026,21:24:28,0.248,0.048,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.255,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.233,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.245,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.249,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.245,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.270,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.258,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.255,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.250,0.071,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.243,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.246,0.077,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.246,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.265,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.251,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:29,0.250,0.077,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.250,0.077,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.273,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.270,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.258,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.274,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.276,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.276,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.265,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.274,0.055,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.274,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.292,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.285,0.073,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.285,0.073,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.293,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.285,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:30,0.275,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.292,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.296,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.289,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.271,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.263,0.056,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.270,0.025,LOOKING FORWARD,NO PHONE,ALERT
